date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
1ตุลาคม2553,488372,72,372,20,919,960,32
16กันยายน2553,17422,22,422,661,33,164,310
1กันยายน2553,354656,56,656,117,845,706,560
16สิงหาคม2553,911097,97,97,649,865,784,486
1สิงหาคม2553,210008,8,8,107,691,827,271
16กรกฎาคม2553,180387,87,387,343,92,195,720
1กรกฎาคม2553,480239,39,239,688,934,509,189
16มิถุนายน2553,500104,4,104,732,6,286,818
1มิถุนายน2553,444874,74,874,813,742,989,966
16พฤษภาคม2553,480012,12,12,122,931,517,700
2พฤษภาคม2553,360371,71,371,63,820,405,176
16เมษายน2553,211743,43,743,968,117,441,542
1เมษายน2553,959517,17,517,221,746,634,470
16มีนาคม2553,364222,22,222,976,199,962,297
1มีนาคม2553,215227,27,227,974,576,273,744
16กุมภาพันธ์2553,133707,7,707,31,370,263,629
1กุมภาพันธ์2553,186312,12,312,149,365,776,944
16มกราคม2553,73577,77,577,674,134,597,816
30ธันวาคม2552,994304,4,304,879,933,374,195
16ธันวาคม2552,685141,41,141,56,947,755,241
1ธันวาคม2552,776980,80,980,599,371,884,122
16พฤศจิกายน2552,55986,86,986,582,999,520,725
1พฤศจิกายน2552,689140,40,140,853,669,236,424
16ตุลาคม2552,258487,87,487,1,741,352,261
1ตุลาคม2552,169387,87,387,62,494,357,142
16กันยายน2552,202912,12,912,482,3,535,391
1กันยายน2552,15865,65,865,324,354,474,469
16สิงหาคม2552,462933,33,933,968,432,925,776
1สิงหาคม2552,154986,86,986,926,882,394,213
16กรกฎาคม2552,816,16,816,940,51,773,568
1กรกฎาคม2552,207542,42,542,662,331,77,993
16มิถุนายน2552,930456,56,456,151,250,449,541
1มิถุนายน2552,777661,61,661,262,420,972,406
16พฤษภาคม2552,111411,11,411,543,688,383,628
2พฤษภาคม2552,294452,52,452,112,225,499,473
16เมษายน2552,368415,15,415,339,541,790,75
1เมษายน2552,816578,78,578,505,723,631,130
16มีนาคม2552,268812,12,812,362,289,294,240
1มีนาคม2552,553091,91,91,672,242,386,652
16กุมภาพันธ์2552,38730,30,730,939,619,391,154
1กุมภาพันธ์2552,534533,33,533,696,607,770,154
16มกราคม2552,743212,12,212,252,668,8,428
30ธันวาคม2551,218596,96,596,220,941,978,319
16ธันวาคม2551,74114,14,114,253,57,158,39
1ธันวาคม2551,205434,34,434,50,132,606,179
